yyyymmdd hhmmss   FS261  TMM261   FS260
20160102 074000  10200.   7920.   9430.
20160102 075000   9880.   7390.   9100.
20160102 080000   9460.   6670.   8870.
20160102 081000   8290.   5930.   7830.
20160102 082000   7670.   5870.   7190.
20160102 083000   7360.   5670.   6910.
20160102 084000   7390.   5700.   7170.
20160102 085000   7020.   5280.   6740.
20160102 090000   6870.   5330.   6530.
20160102 091000   6750.   5230.   6280.
20160102 092000   6480.   5080.   6080.
20160102 093000   6250.   4970.   5860.
20160102 094000   6480.   5170.   6010.
20160102 095000   6530.   5040.   6040.
20160102 100000   6620.   5220.   6240.
20160102 101000   6730.   5380.   6430.
20160102 102000   7030.   5870.   6840.
20160102 103000   7180.   5950.   7160.
20160102 104000   4170.   3710.   4210.
20160102 105000   2940.   2780.   3000.
20160102 110000   2760.   2360.   2510.
20160102 111000   2600.   2610.   2510.
20160102 112000   2520.   2290.   2420.
20160102 113000   2730.   2000.   2430.
20160102 114000   4430.   4060.   4260.
20160102 115000   6440.   5340.   6520.
20160102 120000   6630.   5430.   6780.
20160102 121000   6760.   5610.   7190.
20160102 122000   7640.   6060.   7420.
20160102 123000   7990.   6240.   7780.
20160102 124000   7950.   6210.   7640.
20160102 125000   7950.   6170.   7850.
20160102 130000   8140.   6250.   7750.
20160102 131000   7920.   6170.   7590.
20160102 132000   8070.   6260.   7790.
20160102 133000   7880.   6030.   7600.
20160102 134000   7670.   5890.   7590.
20160102 135000   7960.   6000.   7690.
20160102 140000   8320.   6260.   8060.
20160102 141000   8370.   6320.   8150.
20160102 142000   8450.   6380.   8210.
20160102 143000   8830.   6460.   8410.
20160102 144000   8660.   6410.   8570.
20160102 145000   8680.   6390.   8550.
20160102 150000   8860.   6540.   8500.
20160102 151000   8700.   6320.   8640.
20160102 152000   8650.   6350.   8600.
20160102 153000   8740.   6270.   8680.
20160102 154000   9050.   6540.   8800.
20160102 155000   8560.   6300.   8370.
20160102 160000   8550.   6310.   8240.
20160102 161000   9020.   6580.   8480.
20160102 162000   8830.   6570.   8860.
20160102 163000   9170.   6690.   8930.
20160102 164000   9870.   6870.   9300.
20160102 165000  10300.   7140.   9710.
20160102 170000  10800.   7590.  10600.
20160102 171000  11900.   8190.  11500.
20160102 172000  12700.   8390.  11900.
20160102 173000  12500.   8450.  11300.
20160102 174000  12800.   8510.  12600.
20160102 175000  13300.   8920.  13000.
20160102 180000  14100.   9010.  12900.
20160102 181000  15400.   9300.  14200.
20160102 182000  15100.   9490.  14300.
20160102 183000  15000.   9620.  13900.
20160102 184000  16200.  10400.  14800.
20160102 185000  18200.  10500.  16300.
20160102 190000  18600.  10700.  16600.
20160102 191000  20400.  11200.  18100.
20160102 192000  22500.  11300.  18700.
20160102 193000  14400.   9000.  13800.
20160102 194000  11800.   8930.  11900.
20160102 195000  17700.  10800.  16500.
20160102 200000  20900.  11600.  18900.
20160102 201000  20800.  11700.  20600.
20160102 202000  22400.  12400.  19900.
20160102 203000  16600.  10600.  15200.
20160102 204000  17000.  11500.  15300.
20160102 205000  16900.  11100.  16900.
20160102 210000   7050.   7310.   6550.
20160102 211000   8800.   8270.   9060.
20160102 212000   4740.   5130.   4440.
20160102 213000   4430.   4030.   3670.
20160102 214000   7940.   6350.   7190.
20160102 215000  12200.   7850.  11000.
20160102 220000  12200.   7400.  10700.
20160102 221000  13100.   7960.  11100.
20160102 222000  12500.   8350.  12100.
20160102 223000  13100.   8980.  12000.
20160102 224000  14800.  10100.  13500.
20160102 225000  15500.  11200.  15100.
20160102 230000  14800.  10500.  13700.
20160102 231000  12700.   9300.  12400.
20160102 232000  13200.   8890.  12600.
20160102 233000  10500.   6870.   8030.
20160102 234000   9980.   7170.   8660.
20160102 235000   5380.   4790.   5310.
20160102 240000   4980.   5260.   4840.
20160103 001000   3050.   3650.   2990.
20160103 002000   2800.   3480.   2900.
20160103 003000   2160.   2710.   2160.
20160103 004000   2480.   3120.   2470.
20160103 005000   3090.   3620.   3070.
20160103 010000   3230.   3680.   3190.
20160103 011000   2170.   2330.   2170.
20160103 012000   2150.   2240.   1890.
20160103 013000   2560.   2420.   2240.
20160103 014000   3730.   3230.   3520.
20160103 015000   3940.   3590.   4010.
20160103 020000   3160.   2950.   3180.
20160103 021000   3240.   2780.   2950.
20160103 022000   3620.   3570.   3910.
20160103 023000   2900.   3390.   2760.
20160103 024000   4700.   4370.   3810.
20160103 025000   6530.   5160.   5520.
20160103 030000   8120.   6740.   7740.
20160103 031000   7850.   6440.   7830.
20160103 032000   5760.   5460.   5790.
20160103 033000   3110.   2250.   2370.
20160103 034000   4170.   3510.   3420.
20160103 035000   4700.   3900.   4000.
20160103 040000   4200.   2620.   3370.
20160103 041000   6100.   4960.   5600.
20160103 042000   4280.   3280.   4380.
20160103 043000   4490.   3920.   3910.
20160103 044000   6080.   5700.   6200.
20160103 045000   4720.   3780.   4280.
20160103 050000   5800.   5340.   5530.
20160103 051000   7500.   6840.   6880.
20160103 052000  11600.   9480.  10900.
20160103 053000  13000.  10300.  11900.
20160103 054000  12200.  10000.  12000.
20160103 055000  10900.   9190.  10900.
20160103 060000  13500.   9760.  12500.
20160103 061000  11800.   9130.  11700.
20160103 062000   6920.   6700.   7700.
20160103 063000   6510.   6180.   7520.
20160103 064000   3840.   3950.   4140.
20160103 065000   2990.   2980.   3630.
20160103 070000   3400.   3250.   4330.
20160103 071000   4040.   3790.   4970.
20160103 072000   3600.   3380.   4320.
20160103 073000   3130.   3150.   3970.
20160103 074000   3140.   3100.   3760.
20160103 075000   3310.   3260.   3250.
20160103 080000   7160.   6570.   7000.
20160103 081000   6770.   6230.   5900.
20160103 082000   9930.   8310.   9850.
20160103 083000  11800.   9370.  12300.
20160103 084000  13400.  10900.  14200.
20160103 085000  15300.  12500.  15700.
20160103 090000  16800.  13000.  17300.
20160103 091000  14100.  12600.  13900.
20160103 092000  18900.  13800.  17300.
20160103 093000  17100.  13000.  17600.
20160103 094000  17200.  13700.  17500.
20160103 095000  18700.  14500.  19400.
20160103 100000  19900.  14800.  19300.
20160103 101000  22300.  15200.  20300.
20160103 102000  23300.  15200.  22000.
20160103 103000  23200.  15400.  23200.
20160103 104000  24200.  15300.  20900.
20160103 105000  25900.  15200.  23700.
20160103 110000  22900.  15300.  22400.
20160103 111000  25100.  15600.  25500.
20160103 112000  24800.  15400.  22000.
20160103 113000  26300.  15700.  21900.
20160103 114000  27700.  15800.  24900.
20160103 115000  27300.  16000.  25000.
20160103 120000  27000.  15500.  24200.
20160103 121000  25900.  14500.  22100.
20160103 122000  27000.  14800.  25000.
20160103 123000  25500.  14700.  23700.
20160103 124000  29500.  15600.  23700.
20160103 125000  32900.  15400.  25200.
20160103 130000  31300.  15500.  27900.
20160103 131000  24300.  14900.  25600.
20160103 132000  29000.  14800.  25600.
20160103 133000  27400.  15700.  25200.
20160103 134000  30700.  15900.  28900.
20160103 135000  28200.  15900.  29000.
20160103 140000  31800.  15900.  26900.
20160103 141000  36800.  16400.  29700.
20160103 142000  35700.  16600.  27500.
20160103 143000  31300.  15600.  28000.
20160103 144000  31600.  15800.  28100.
20160103 145000  32300.  16500.  30000.
20160103 150000  36100.  16000.  29300.
20160103 151000  34400.  16000.  27800.
20160103 152000  28400.  15500.  32000.
20160103 153000  33500.  16200.  29800.
20160103 154000  28900.  14300.  31400.
20160103 155000  36300.  16800.  33700.
20160103 160000  41900.  17500.  31900.
20160103 161000  38100.  17000.  38100.
20160103 162000  43200.  17900.  38800.
20160103 163000  32000.  16000.  39000.
20160103 164000  47400.  18200.  41700.
20160103 165000  21800.  14700.  43300.
20160103 170000  47300.  18800.  46600.
20160103 171000  39800.  17900.  43800.
20160103 172000  40100.  18100.  44400.
20160103 173000  47900.  19200.  45400.
20160103 174000  41000.  17700.  49100.
20160103 175000  43100.  18200.  38800.
20160103 180000  39800.  18300.  30300.
20160103 181000  32400.  16600.  24200.
20160103 182000  22800.  14000.  15400.
20160103 183000  20800.  12700.  16500.
20160103 184000  15300.   9970.  13600.
20160103 185000  15500.  10100.  15100.
20160103 190000  16600.   9780.  15600.
20160103 191000  15100.   8820.  12500.
20160103 192000  13500.   8210.  10600.
20160103 193000  17700.   9660.  12200.
20160103 194000  18500.  10000.  12200.
20160103 195000  18400.  10200.  14600.
20160103 200000  15500.   9150.  10000.
20160103 201000  15800.   9530.  10500.
20160103 202000  14900.   9320.   8320.
20160103 203000  13900.   8410.  10900.
20160103 204000  15500.   9130.  10400.
20160103 205000  15700.   9360.   9520.
20160103 210000  13900.   8540.  11200.
20160103 211000  12400.   7140.   8160.
20160103 212000  11600.   7100.   6710.
20160103 213000  12100.   7450.   7240.
20160103 214000  11700.   7420.   8040.
20160103 215000  13300.   8280.   8220.
20160103 220000  15400.   8980.  12500.
20160103 221000  16000.   9150.  12400.
20160103 222000  15300.   9450.  10500.
20160103 223000  11900.   8610.   9250.
20160103 224000  11600.   8590.  10100.
20160103 225000  13300.   8470.  10400.
20160103 230000  13600.   8440.  12300.
20160103 231000  16700.  11300.  14300.
20160103 232000  18200.  12500.  16000.
20160103 233000  14100.   9970.  12500.
20160103 234000  14400.   9500.  10700.
20160103 235000  16500.   9830.  11700.
20160103 240000  17300.  10000.  14300.
20160104 001000  17600.   9640.  15200.
20160104 002000  14400.   8810.  13000.
20160104 003000  13400.   8320.  11900.
20160104 004000  14100.   8200.  11900.
20160104 005000  13400.   7560.  11100.
20160104 010000  12900.   6890.   8350.
20160104 011000  12900.   6800.   9730.
20160104 012000  18700.   8950.  13600.
20160104 013000  22200.   9720.  15500.
20160104 014000  29000.  11700.  20000.
20160104 015000  25800.  10600.  18200.
20160104 020000  22500.  10000.  16400.
20160104 021000  24700.  10200.  16700.
20160104 022000  21000.   9550.  17100.
20160104 023000  24100.  10600.  18500.
20160104 024000  37800.  13300.  27300.
20160104 025000  25300.  11600.  16300.
20160104 030000  20200.  10800.  12000.
20160104 031000  22400.  10800.  15000.
20160104 032000  13400.   8940.  11000.
20160104 033000  11800.   7460.  10300.
20160104 034000  12400.   7550.  10200.
20160104 035000  15700.   8550.  11600.
20160104 040000  15600.   9410.  11600.
20160104 041000  17900.   9840.  12200.
20160104 042000  14100.   9650.  12600.
20160104 043000  13300.   9550.  10700.
20160104 044000  14500.  10200.  13400.
20160104 045000  15000.   8800.  12900.
20160104 050000   6920.   5240.   5780.
20160104 051000   5990.   4710.   5420.
20160104 052000  10300.   6820.   9370.
20160104 053000   9320.   5690.   8940.
20160104 054000  11200.   7950.  10400.
20160104 055000   9600.   6670.   8530.
20160104 060000   9760.   7060.   9930.
20160104 061000   9590.   6390.   8230.
20160104 062000  12700.   8940.  12000.
20160104 063000  13100.   9440.  12400.
20160104 064000  11700.   8720.  11100.
20160104 065000   8660.   6260.   9030.
20160104 070000   7070.   5240.   7110.
20160104 071000   7030.   5850.   6530.
20160104 072000   9300.   7090.   9470.
20160104 073000   9500.   7170.   9210.
20160104 074000   8220.   6500.   8220.
20160104 075000   7550.   6040.   7540.
20160104 080000   6850.   5720.   6930.
20160104 081000   6160.   5230.   6280.
20160104 082000   6050.   5140.   6210.
20160104 083000   5850.   5030.   6070.
20160104 084000   5760.   4800.   5650.
20160104 085000   5540.   4690.   5470.
20160104 090000   5570.   4730.   5520.
20160104 091000   5300.   4620.   5310.
20160104 092000   5070.   4430.   5000.
20160104 093000   4820.   4240.   4920.
20160104 094000   4910.   4310.   5060.
20160104 095000   4890.   4250.   5170.
20160104 100000   4830.   4210.   5010.
20160104 101000   4650.   4100.   4780.
20160104 102000   4820.   4200.   4760.
20160104 103000   4130.   3790.   4320.
20160104 104000   4740.   4190.   4990.
20160104 105000   4750.   4200.   4890.
20160104 110000   4880.   4190.   4900.
20160104 111000   4730.   4130.   4950.
20160104 112000   4900.   4150.   4910.
20160104 113000   5010.   4230.   5050.
20160104 114000   5500.   4410.   5540.
20160104 115000   5940.   4700.   5990.
20160104 120000   5860.   4570.   5680.
20160104 121000   5600.   4410.   5390.
20160104 122000   5550.   4390.   5500.
20160104 123000   5180.   4260.   5390.
20160104 124000   6160.   4730.   6000.
20160104 125000   7130.   5320.   7030.
20160104 130000   8070.   5830.   8180.
20160104 131000   9200.   6380.   8770.
20160104 132000   9830.   6720.   9470.
20160104 133000  10100.   6790.   9570.
20160104 134000   8650.   6130.   8160.
20160104 135000   7810.   5640.   7790.
20160104 140000   7700.   5470.   7330.
20160104 141000   6730.   5040.   6850.
20160104 142000   6180.   4700.   5960.
20160104 143000   4000.   3240.   3940.
20160104 144000   3190.   2850.   3020.
20160104 145000   2390.   1970.   2430.
20160104 150000   2090.   1640.   2170.
20160104 151000   2080.   1750.   2210.
20160104 152000   2000.   1590.   2010.
20160104 153000   1640.   1340.   1930.
20160104 154000   1930.   1690.   2120.
20160104 155000   2110.   1800.   2200.
20160104 160000   2090.   1900.   2060.
20160104 161000   1670.   1410.   1730.
20160104 162000   2870.   2570.   2960.
20160104 163000   2970.   2800.   2900.
20160104 164000   4120.   3690.   4030.
20160104 165000   4190.   3790.   4160.
20160104 170000   4490.   3900.   4220.
20160104 171000   4520.   3800.   4640.
20160104 172000   5380.   4340.   5720.
20160104 173000   5180.   4100.   5230.
20160104 174000   3360.   2630.   3180.
20160104 175000   2550.   2110.   2570.
20160104 180000   3170.   2570.   3180.
20160104 181000   2700.   2310.   2790.
20160104 182000   2890.   2470.   3100.
20160104 183000   2900.   2560.   3030.
20160104 184000   3610.   3050.   4200.
20160104 185000   3940.   2760.   3270.
20160104 190000   3160.   2360.   3190.
20160104 191000   4600.   3820.   4600.
20160104 192000   5060.   4110.   4670.
20160104 193000   4950.   4240.   5270.
20160104 194000   5290.   4390.   5360.
20160104 195000   5580.   4540.   5750.
20160104 200000   5870.   4840.   5950.
20160104 201000   5800.   4700.   5910.
20160104 202000   6040.   4820.   6330.
20160104 203000   6540.   5290.   6710.
20160104 204000   6730.   5310.   6640.
20160104 205000   7460.   5850.   7640.
20160104 210000   7420.   5860.   7510.
20160104 211000   7860.   6010.   8070.
20160104 212000   7970.   6210.   7980.
20160104 213000   8290.   6350.   8010.
20160104 214000   8450.   6330.   8300.
20160104 215000   8580.   6540.   8750.
20160104 220000   8600.   6360.   8300.
20160104 221000   9580.   7650.   9870.
20160104 222000  10000.   7950.  10100.
20160104 223000  10000.   7970.   9660.
20160104 224000  10000.   7760.   9590.
20160104 225000  10200.   7760.   9630.
20160104 230000  11000.   8780.  10500.
20160104 231000  11400.   9340.  11300.
20160104 232000  11900.   9510.  11700.
20160104 233000  11700.   9300.  11100.
20160104 234000  11500.   9250.  10500.
20160104 235000  11800.   9730.  11000.
20160104 240000  10700.   8330.  10200.
20160105 001000  11300.   9860.  11100.
20160105 002000  12000.  10200.  11800.
20160105 003000  12500.  10500.  11700.
20160105 004000  12200.  10600.  11900.
20160105 005000  12300.  10600.  12000.
20160105 010000  12700.  10700.  11800.
20160105 011000  12700.  10600.  12200.
20160105 012000  12800.  10900.  12400.
20160105 013000  12400.  10700.  12300.
20160105 014000  12500.  10900.  12400.
20160105 015000  12900.  11000.  12500.
20160105 020000  12500.  11000.  12500.
20160105 021000  12300.  10900.  12400.
20160105 022000  12300.  10900.  12100.
20160105 023000  12600.  10700.  12500.
20160105 024000  12700.  10800.  12500.
20160105 025000  13100.  11100.  12800.
20160105 030000  13300.  10800.  12400.
20160105 031000  13000.  10900.  12600.
20160105 032000  12700.  10800.  12900.
20160105 033000  12800.  10900.  12500.
20160105 034000  12600.  11100.  12700.
20160105 035000  12400.  11000.  12600.
20160105 040000  12600.  10800.  12300.
20160105 041000  12500.  11000.  12500.
20160105 042000  12800.  11100.  12100.
20160105 043000  13000.  10900.  12300.
20160105 044000  12700.  10900.  12600.
20160105 045000  13000.  11000.  13200.
20160105 050000  13200.  11300.  13100.
20160105 051000  13600.  11500.  14000.
20160105 052000  14600.  11700.  13600.
20160105 053000  15700.  11800.  14300.
20160105 054000  16000.  12000.  15300.
20160105 055000  16000.  12000.  15100.
20160105 060000  15600.  11900.  14600.
20160105 061000  16200.  12100.  14800.
20160105 062000  17000.  11800.  15500.
20160105 063000  16100.  11600.  15600.
20160105 064000  16000.  10800.  15100.
20160105 065000  16400.  11100.  15600.
20160105 070000  17100.  11200.  15900.
20160105 071000  17100.  11000.  16600.
20160105 072000  17900.  11900.  17000.
20160105 073000  17600.  12000.  17100.
20160105 074000  17400.  12000.  17100.
20160105 075000  17200.  11900.  17700.
20160105 080000  17900.  12200.  16700.
20160105 081000  20000.  12200.  17300.
20160105 082000  20300.  13200.  18700.
20160105 083000  20300.  13000.  18200.
20160105 084000  21200.  13500.  19700.
20160105 085000  22700.  14000.  21200.
20160105 090000  22200.  14200.  19600.
20160105 091000  22900.  14300.  19100.
20160105 092000  22300.  13200.  19400.
20160105 093000  21800.  13100.  19400.
20160105 094000  20400.  12900.  18100.
20160105 095000  21000.  12900.  19800.
20160105 100000  21000.  13100.  20500.
20160105 101000  20900.  13700.  18900.
20160105 102000  22900.  13200.  19400.
20160105 103000  19600.  13200.  19600.
20160105 104000  20900.  13100.  19700.
20160105 105000  22700.  13100.  19400.
20160105 110000  23600.  13200.  21100.
20160105 111000  24300.  13000.  19500.
20160105 112000  21100.  13300.  19500.
20160105 113000  22200.  13300.  20200.
20160105 114000  21000.  13600.     -1.
20160105 115000  23400.  13800.  22300.
20160105 120000  24500.  13900.  19900.
20160105 121000  22900.  13700.  21400.
20160105 122000  22700.  14000.  21300.
20160105 123000  25800.  13800.  21100.
20160105 124000  23600.  14000.  20900.
20160105 125000  24900.  13800.  22000.
20160105 130000  24900.  13400.  21400.
20160105 131000  26000.  13900.  22900.
20160105 132000  23000.  13700.  20800.
20160105 133000  26700.  13900.  18800.
20160105 134000  22700.  13800.  20600.
20160105 135000  23600.  13500.  20900.
20160105 140000  23200.  13300.  19600.
20160105 141000  23300.  13500.  20000.
20160105 142000  25400.  13300.  20700.
20160105 143000  23800.  12900.  20700.
20160105 144000  22900.  12600.  18800.
20160105 145000  21900.  12700.  20100.
20160105 150000  13000.   9580.  11900.
20160105 151000  17500.  11200.  15100.
20160105 152000   8270.   6660.   8350.
20160105 153000  13100.  10100.  11900.
20160105 154000  19400.  11400.  18100.
20160105 155000  13000.   9990.  12500.
20160105 160000  17600.  10800.  17500.
20160105 161000  10200.   7680.  10400.
20160105 162000  10600.   9020.  10000.
20160105 163000  18800.  11100.  17100.
20160105 164000  12500.   9060.  12100.
20160105 165000  15300.  10700.  12800.
20160105 170000  18500.  11600.  16300.
20160105 171000  24800.  12900.  21800.
20160105 172000  21600.  12500.  19500.
20160105 173000  12100.   9680.  11300.
20160105 174000  22700.  12200.  20900.
20160105 175000  22600.  12300.  20800.
20160105 180000  25200.  12800.  23900.
20160105 181000  24800.  12600.  21700.
20160105 182000  27700.  12600.  21200.
20160105 183000  29700.  13500.  26500.
20160105 184000  31900.  13500.  28600.
20160105 185000  31200.  13200.  27100.
20160105 190000  32400.  14200.  27100.
20160105 191000  24900.  12900.  22300.
20160105 192000   7070.   4930.   6460.
20160105 193000   6880.   5800.   6120.
20160105 194000  10500.   8000.   9750.
20160105 195000  15800.   9800.  14200.
20160105 200000  17100.  10100.  15200.
20160105 201000  17300.  10400.  15800.
20160105 202000  16500.  10000.  15200.
20160105 203000   7230.   4520.   7630.
20160105 204000   7470.   4410.   7340.
20160105 205000  14900.   9190.  14700.
20160105 210000   8960.   6520.   8510.
20160105 211000   7950.   6430.   6810.
20160105 212000   8300.   6420.   7580.
20160105 213000   7770.   6230.   7910.
20160105 214000  12200.   7680.  11700.
20160105 215000   9790.   6420.   9750.
20160105 220000   9370.   6300.   9310.
20160105 221000  10400.   6740.   9220.
20160105 222000   7160.   5150.   6590.
20160105 223000   6740.   5080.   6780.
20160105 224000   6690.   4960.   6720.
20160105 225000   5620.   4340.   5420.
20160105 230000   4520.   3520.   4220.
20160105 231000   4460.   3480.   4470.
20160105 232000   5140.   3910.   4570.
20160105 233000   4260.   3330.   3930.
20160105 234000   3750.   3050.   3590.
20160105 235000   3240.   2750.   3250.
20160105 240000   2720.   2290.   2650.
20160106 001000   2560.   2330.   2600.
20160106 002000   2870.   2470.   2850.
20160106 003000   2370.   2090.   2270.
20160106 004000   2190.   1980.   2170.
20160106 005000   2210.   1880.   2290.
20160106 010000   2340.   2060.   2230.
20160106 011000   2240.   2020.   2230.
20160106 012000   2370.   2060.   2370.
20160106 013000   2520.   2230.   2540.
20160106 014000   2510.   2220.   2520.
20160106 015000   2600.   2300.   2700.
20160106 020000   2250.   1920.   2300.
20160106 021000   2170.   1890.   2160.
20160106 022000   2180.   1920.   2140.
20160106 023000   2180.   1920.   2170.
20160106 024000   2000.   1770.   2010.
20160106 025000   1950.   1740.   1970.
20160106 030000   2020.   1790.   2000.
20160106 031000   1960.   1740.   1920.
20160106 032000   2010.   1790.   2000.
20160106 033000   2040.   1770.   2020.
20160106 034000   1970.   1750.   2030.
